DATA;HORA;ATLETA 1;ATLETA 2;STATUS
22/08/2026;08:30;LUAN MONTEIRO;ANDRÉ MELLO;3-0
22/08/2026;08:30;SAMUEL SILVA;LORENZO HORST;1-3
22/08/2026;08:30;LUÍS MARCHAUKOWSKI;WESLLEY JUNIOR;3-1
22/08/2026;08:30;MATHEUS FRANÇA;ÁLEFE DIAS;1-3
22/08/2026;08:30;WALLACE MIRANDA;FELIPE KURHAN;0-3
22/08/2026;08:30;ALAN GONÇALVES;MATHEUS GOMES;1-3
22/08/2026;08:30;RÉGULO BONFIGLIO;NICOLAS ANDRADE;1-3
22/08/2026;08:30;FABIO RIVILI;RICARDO VALUS;3-0
22/08/2026;08:30;LUCAS PAULA;GENARO LESME;0-3
22/08/2026;08:30;ANTONIO WOLSKI;ANDRÉ CABRAL;0-3
22/08/2026;08:30;EDGAR JUNIOR;DAVI NOVAES;1-3
22/08/2026;08:30;NICOLAS BARBOSA;PEDRO MULLER;2-3
22/08/2026;08:30;ANDERSON SANTOS;LEONARDO AMARAL;0-3
22/08/2026;08:30;JOÃO TRZASKOS;RAFAEL SILVA;0-3
22/08/2026;08:30;FABIO MIURA;ROBERTO ANDRE;3-0
22/08/2026;08:30;DAVI MIRANDA;EMANUEL SILVA;3-2
22/08/2026;08:30;MATHEUS SILVEIRA;DAVI MARCARINI;1-3
22/08/2026;08:30;IAN JUNIOR;MARLOM SCHMITT;1-3
22/08/2026;08:30;THIAGO SILVA;DAVI MORAES;0-3
22/08/2026;08:30;DAVI KNAPP;JOSÉ MILLÉO;0-3
22/08/2026;08:30;EMANUELLY SANTOS;ISABELA HAAB;3-0
22/08/2026;08:30;YASMIN SÁ;ANA BRAGA;3-0
22/08/2026;08:30;KAROLINE GRUCHOSKI;SOFIA MICHALICHEM;3-0
22/08/2026;08:30;LETICIA JAREMTCHUK;EMANUELLI ROCHA;3-1
22/08/2026;08:55;PEDRO TUSSET;EDUARDO LARA;3-0
22/08/2026;08:55;HERNANI NIGRIN;EDILSON OKAMURA;1-3
22/08/2026;08:55;RAPHAEL SOUZA;FRANCISCO JUNIOR;3-1
22/08/2026;08:55;DANIEL VAZ;JANDI BARBOSA;3-1
22/08/2026;08:55;DAVI SANTOS;OLAVO FIRINO;3-1
22/08/2026;08:55;DIOGO PAULA;GABRIEL ABADE;0-3
22/08/2026;08:55;EDUARDO RODRIGUES;ODAIR JAREMTCHUK;1-3
22/08/2026;08:55;WILLIAM TOKUSHIMA;MATHEUS FIGUEREDO;3-2
22/08/2026;08:55;SAMUEL ZILIO;CAIO BONI;3-1
22/08/2026;08:55;SÉRGIO LIMA;GUILHERME GRILLANDA;0-3
22/08/2026;08:55;MATTEUS BECKER;MIGUEL REFUNDINI;3-2
22/08/2026;08:55;LAM FAI;EMANUEL MAINGUE;0-3
22/08/2026;08:55;LUÍS SCHEREDA;ROGÉRIO OLIVEIRA;3-0
22/08/2026;08:55;GABRIEL LOPES;NICOLAS PERALTA;1-3
22/08/2026;08:55;GABRIEL RODRIGUES;SAMUEL MATSUMOTO;3-0
22/08/2026;08:55;PEDRO TAKAYAMA;ENZO SCHERER;3-1
22/08/2026;08:55;DAVI MATTOS;ARTHUR GROSSE;3-0
22/08/2026;08:55;FERNANDO MIRANDA;FELIPE KANNO;3-0
22/08/2026;08:55;MIGUEL BARBOSA;PAULO JUNIOR;3-0
22/08/2026;08:55;LUCAS MAEDA;GUILHERME LUIZ;3-0
22/08/2026;08:55;SAMUEL MITSUI;DAVI MORAES;3-0
22/08/2026;08:55;ARTHUR KADLUBISKI;RENATO FILHO;3-0
22/08/2026;08:55;BRIAN MUZER;CARLOS ANJOS;3-0
22/08/2026;08:55;FRANCISCO LAROCA;MIGUEL BARBOSA;3-0
22/08/2026;09:20;ÉVELIN LEMES;LAURA MAROZ;3-0
22/08/2026;09:20;ISADHORA FERREIRA;ANA VITO;3-0
22/08/2026;09:20;CAROLIN BERTHOLDI;BIANCA ALVES;0-3
22/08/2026;09:20;LAVINIA GUSSO;NICOLY FERNANDES;3-2
22/08/2026;09:20;MARCELA KAWANO;LAURA SOUZA;3-0
22/08/2026;09:20;LIZ OKUZONO;MARIA MAIA;3-0
22/08/2026;09:20;KAMILY ZANATTA;ROSANA OHASHI;3-0
22/08/2026;09:20;ALICE BLANCO;ANA MAIA;3-0
22/08/2026;09:20;RAFAEL SANTOS;RAVI BERTHOLDI;3-0
22/08/2026;09:20;JOÃO ITARUCZAK;THIAGO WOLSKI;3-0
22/08/2026;09:20;LEANDRO FILHO;JOÃO GONÇALVES;1-3
22/08/2026;09:20;ENZO KADLUBISKI;LEANDRO SILVA;3-2
22/08/2026;09:20;ALESANDRO WOLSKI;JOSÉ SILVA;3-0
22/08/2026;09:20;TIAGO LEMES;GIOVANI JUNIOR;1-3
22/08/2026;09:20;PEDRO SILVA;RAJ ADDI;2-3
22/08/2026;09:20;ADILSON KUBO;HUGO CAWASHIMA;3-2
22/08/2026;09:20;GUSTAVO AVELAR;JOÃO GOLEMBA;3-0
22/08/2026;09:20;CAUÊ MARTINS;MATHEUS NASCIMENTO;3-0
22/08/2026;09:20;MATHEUS JACUMASSO;CAUÃ MATHEUS;3-0
22/08/2026;09:20;CAUÃ KNACK;OTÁVIO IENERICH;3-0
22/08/2026;09:20;FABRICIO MARIN;MURILO ESSER;3-2
22/08/2026;09:20;DAVI TAKAYAMA;DIOGO RIVILI;3-0
22/08/2026;09:20;MATHEUS LESME;THALES LOPES;3-0
22/08/2026;09:20;VICTOR DIAS;JOÃO HAMAMOTO;3-1
22/08/2026;09:45;JANDIR MOTTER;ANDRÉ MELLO;0-3
22/08/2026;09:45;RODRIGO VIANNA;LORENZO HORST;0-4
22/08/2026;09:45;GABRIEL PAULA;WESLLEY JUNIOR;3-1
22/08/2026;09:45;PEDRO MACHADO;ÁLEFE DIAS;2-3
22/08/2026;09:45;ANDRE.HENRIQUE MOREIRA;FELIPE KURHAN;0-3
22/08/2026;09:45;GABRIEL SENNA;MATHEUS GOMES;3-2
22/08/2026;09:45;GUILHERME MILLÉO;NICOLAS ANDRADE;2-3
22/08/2026;09:45;LUIZ JUSTINA;RICARDO VALUS;3-0
22/08/2026;09:45;JOÃO MAGAGNIN;GENARO LESME;2-3
22/08/2026;09:45;IGOR CECHET;ANDRÉ CABRAL;3-0
22/08/2026;09:45;FELIPE RIBEIRO;DAVI NOVAES;1-3
22/08/2026;09:45;MIGUEL SCUSSIATTO;PEDRO MULLER;3-0
22/08/2026;09:45;JOÃO CEZARIO;LEONARDO AMARAL;0-3
22/08/2026;09:45;VICTOR SCHERER;RAFAEL SILVA;0-3
22/08/2026;09:45;JOSÉ ROMITTI;ROBERTO ANDRE;3-0
22/08/2026;09:45;GABRIEL DIPOLD;EMANUEL SILVA;3-0
22/08/2026;09:45;MATHEUS SILVEIRA;MARLOM SCHMITT;0-3
22/08/2026;09:45;IAN JUNIOR;DAVI MARCARINI;3-0
22/08/2026;09:45;THIAGO SILVA;JOSÉ MILLÉO;3-0
22/08/2026;09:45;DAVI KNAPP;DAVI MORAES;0-3
22/08/2026;09:45;NIHAN ABDALLAH;ISABELA HAAB;3-0
22/08/2026;09:45;ELOAH PRADO;ANA BRAGA;3-0
22/08/2026;09:45;ISABELLY RIOS;SOFIA MICHALICHEM;3-0
22/08/2026;09:45;BIANCA SANTOS;EMANUELLI ROCHA;3-0
22/08/2026;10:10;PEDRO TUSSET;EDILSON OKAMURA;1-3
22/08/2026;10:10;HERNANI NIGRIN;EDUARDO LARA;2-3
22/08/2026;10:10;VITTOR MAHNIC;FRANCISCO JUNIOR;0-3
22/08/2026;10:10;LEONARDO RAMIREZ;JANDI BARBOSA;3-1
22/08/2026;10:10;LEONARDO SUPERTI;OLAVO FIRINO;3-1
22/08/2026;10:10;PIETRO NASCIMENTO;GABRIEL ABADE;0-3
22/08/2026;10:10;JOÃO OLIVEIRA;ODAIR JAREMTCHUK;3-2
22/08/2026;10:10;DAVI VIANNA;MATHEUS FIGUEREDO;0-3
22/08/2026;10:10;WILLIAN OLIVEIRA;CAIO BONI;3-1
22/08/2026;10:10;VITOR SANTOS;GUILHERME GRILLANDA;3-2
22/08/2026;10:10;VALMIR JUNIOR;MIGUEL REFUNDINI;3-0
22/08/2026;10:10;ANDRÉ WELCOFF;EMANUEL MAINGUE;0-3
22/08/2026;10:10;LUÍS SCHEREDA;NICOLAS PERALTA;2-3
22/08/2026;10:10;GABRIEL LOPES;ROGÉRIO OLIVEIRA;3-1
